caso_id,intervencion_fecha,intervencion_hora,victima_embarazo,victima_edad,victima_genero,victima_nacionalidad,victima_discapacidad,violencia_tipo,agresor_relacion_victima
361490.0,2018-01-10,23:00,NO,70,Femenino,Otra,NO,Sexual,Pareja
361470.0,2018-01-10,09:00,NO,18,Masculino,Argentina,NS/NC,Física,Padrastro
361470.0,2018-01-10,09:00,NO,15,Masculino,Argentina,NS/NC,Psicológica,Padrastro
361490.0,2018-01-10,23:00,NO,15,Masculino,Argentina,NS/NC,Psicológica,Abuelo/a
121995.0,2018-01-11,10:30,NS/NC,14,Masculino,Argentina,NS/NC,Física,Padrastro
361490.0,2018-01-11,09:00,NO,70,Femenino,Otra,NO,Física,Pareja
361496.0,2018-01-11,03:30,NO,24,Femenino,Argentina,NS/NC,Física,Pareja
121995.0,2018-01-11,10:30,NO,49,Femenino,Argentina,NS/NC,Física,Pareja
360315.0,2018-01-11,10:00,NO,5,Femenino,Argentina,NO,Psicológica,Padrastro
121995.0,2018-01-11,10:30,NS/NC,16,Femenino,Argentina,NS/NC,Física,Padre
361490.0,2018-01-11,09:00,NO,35,Femenino,Argentina,NO,Psicológica,Padre
360315.0,2018-01-11,10:00,NO,23,Femenino,Argentina,NO,Económica y física,Pareja
361496.0,2018-01-11,03:30,NO,4,Masculino,Argentina,NS/NC,Psicológica,Padre
360315.0,2018-01-11,10:00,NO,2,Masculino,Argentina,NS/NC,Psicológica,Padre
361490.0,2018-01-11,09:00,NO,15,Masculino,Argentina,NO,Psicológica,Abuelo/a
218059.0,2018-01-12,21:00,NO,19,Femenino,Argentina,NO,Física,Ex pareja
218059.0,2018-01-12,21:00,NO,,Femenino,Argentina,NS/NC,Psicológica,Padre
361507.0,2018-01-12,03:15,NO,8,Femenino,Argentina,NS/NC,Psicológica,Padre
218059.0,2018-01-12,21:00,NO,2,Femenino,Argentina,NS/NC,Psicológica,Padre
361507.0,2018-01-12,03:15,SI,24,Femenino,Argentina,NS/NC,Física,Pareja
361507.0,2018-01-12,03:15,NO,4,Masculino,Argentina,NS/NC,Psicológica,Padre
218059.0,2018-01-12,21:00,NO,3,Masculino,Argentina,NO,Física,Padre
361525.0,2018-01-13,08:30,NO,51,Femenino,Argentina,NO,Física,Ex pareja
348646.0,2018-01-13,11:00,SI,27,Masculino,Argentina,NO,Física,Pareja
29247.0,2018-01-13,08:30,NO,51,Femenino,Argentina,NO,Física,Ex pareja
361535.0,2018-01-13,09:00,NO,47,Femenino,Argentina,NO,Física,Pareja
361546.0,2018-01-13,22:25,NS/NC,39,Femenino,Argentina,NS/NC,Sexual,Otra/o conviviente
361546.0,2018-01-13,22:25,NO,3,Femenino,Argentina,NS/NC,Física,Padre
361546.0,2018-01-13,22:25,NO,19,Femenino,Argentina,NS/NC,Física,Pareja
361525.0,2018-01-13,08:30,NO,11,Masculino,Argentina,NO,Física,Padre
29247.0,2018-01-13,08:30,NO,11,Masculino,Argentina,NO,Física,Padre
361555.0,2018-01-14,16:00,NO,19,Femenino,Argentina,NO,Física,Ex pareja
361555.0,2018-01-14,16:00,NO,,Femenino,Argentina,NO,Psicológica,Padre
361542.0,2018-01-14,20:30,NO,41,Femenino,Argentina,NS/NC,Física,Pareja
361552.0,2018-01-14,14:00,NS/NC,40,Femenino,Boliviana,NO,Física,Pareja
361542.0,2018-01-14,20:30,NO,12,Masculino,Argentina,NS/NC,Psicológica,Padre
361552.0,2018-01-14,14:00,NO,6,Masculino,Argentina,NS/NC,Psicológica,Padre
361552.0,2018-01-14,14:00,NO,3,Masculino,Argentina,NO,Psicológica,Padre
29247.0,2018-01-15,10:00,NO,51,Femenino,Argentina,NO,Física,Ex pareja
361562.0,2018-01-15,10:00,NO,3,Masculino,Argentina,NO,Psicológica,Padre
361562.0,2018-01-15,05:00,NO,3,Femenino,Argentina,NS/NC,Psicológica,Padre
361572.0,2018-01-15,17:00,NS/NC,25,Femenino,Argentina,NO,Física,Ex pareja
361562.0,2018-01-15,05:00,NS/NC,23,Femenino,Argentina,NO,Física,Pareja
361562.0,2018-01-15,10:00,NO,23,Femenino,Argentina,NO,Física,Pareja
361561.0,2018-01-15,09:00,NO,37,Femenino,Otra,NS/NC,Física,Ex pareja
29247.0,2018-01-15,10:00,NO,11,Masculino,Argentina,NO,Física,Padre
361572.0,2018-01-15,17:00,NO,2,Masculino,Argentina,NO,Psicológica,Padre
361572.0,2018-01-15,17:00,NO,,Masculino,Argentina,NO,Psicológica,Padre
361557.0,2018-01-15,20:30,NO,52,Masculino,Argentina,NO,Física,Otro/a no conviviente
361581.0,2018-01-16,22:00,NO,5,Femenino,Argentina,NS/NC,Sexual,Abuelo/a
361581.0,2018-01-16,22:00,NO,3,Femenino,Argentina,NO,Psicológica,Padre
361546.0,2018-01-16,10:00,NO,19,Femenino,Argentina,NO,Sexual,Pareja
361581.0,2018-01-16,22:00,NO,28,Femenino,Argentina,NO,Física,Pareja
361655.0,2018-01-21,04:00,NO,21,Femenino,Argentina,SI,Física,Pareja
361653.0,2018-01-21,11:10,NO,21,Femenino,Argentina,NO,Económica y física,Ex pareja
361653.0,2018-01-21,11:10,NO,,Masculino,Argentina,NS/NC,Psicológica,Padre
358868.0,2018-01-22,09:00,NO,3,Masculino,Argentina,NS/NC,Psicológica,Padrastro
361622.0,2018-01-22,09:00,SI,40,Femenino,Brasileña,NO,Física,Pareja
358868.0,2018-01-22,20:00,NS/NC,40,Femenino,Argentina,NO,Física,Pareja
361661.0,2018-01-22,10:00,NO,29,Femenino,Argentina,NO,Sexual,Ex pareja
358868.0,2018-01-22,09:00,NO,40,Femenino,Argentina,NO,Física,Pareja
237129.0,2022-01-18,04:30,NO,,Femenino,Argentina,NS/NC,Psicológica,Padre
361923.0,2022-01-22,14:55,NS/NC,38,Femenino,Argentina,NS/NC,"Física, sexual y psicológica",Ex pareja
361923.0,2022-01-22,14:55,NO,10,Femenino,Argentina,NS/NC,Psicológica,Otro/a no conviviente
442684.0,2022-01-25,14:45,NO,40,Femenino,Argentina,SI,Psicológica,Madre
161618.0,2022-02-01,16:00,NO,50,Femenino,Argentina,NO,"Física, sexual, económica y psicológica",Pareja
443577.0,2022-02-22,20:00,NS/NC,29,Femenino,Argentina,NO,Física y psicológica,Ex pareja
202601.0,2022-03-10,21:00,NO,7,Masculino,Argentina,SI,Psicológica,Padre
202601.0,2022-03-10,21:00,NO,4,Masculino,Argentina,NS/NC,Psicológica,Padre
202601.0,2022-03-10,21:00,NO,3,Masculino,Argentina,NS/NC,Psicológica,Padre
202601.0,2022-03-10,16:30,NO,7,Masculino,Argentina,SI,Psicológica,Padre
202601.0,2022-03-10,16:30,NO,4,Masculino,Argentina,NO,Psicológica,Padre
202601.0,2022-03-10,16:30,NO,3,Femenino,Argentina,NO,Psicológica,Padre
202601.0,2022-03-10,16:30,NS/NC,34,Femenino,Boliviana,NO,Física y psicológica,Pareja
202601.0,2022-03-10,21:00,NO,38,Femenino,Boliviana,NO,Física y psicológica,Pareja
444012.0,2022-03-13,12:00,NO,14,Femenino,Argentina,NS/NC,Física y psicológica,Padrastro
444012.0,2022-03-13,12:00,NO,10,Femenino,Argentina,NO,Psicológica,Padre
444012.0,2022-03-13,12:00,NO,4,Femenino,Argentina,NO,Psicológica,Padre
453718.0,2023-08-10,23:50,NO,13,Masculino,Argentina,NS/NC,Física y psicológica,Padre
453718.0,2023-08-10,23:50,NO,11,Masculino,Argentina,NS/NC,Física y psicológica,Padre
453718.0,2023-08-10,23:50,NS/NC,,Femenino,Argentina,SI,Física y psicológica,Padre
453399.0,2023-08-10,14:00,NO,28,Femenino,Argentina,NS/NC,Psicológica,Ex pareja
453718.0,2023-08-10,23:50,NS/NC,42,Femenino,NS/NC,NS/NC,"Física, sexual y psicológica",Pareja
453813.0,2023-08-14,17:30,NO,16,Masculino,Argentina,NO,Física y psicológica,Madre
453813.0,2023-08-14,17:30,NO,,Masculino,Argentina,NO,Psicológica,Madre
453813.0,2023-08-14,17:30,NO,12,Femenino,Argentina,NO,Física y psicológica,Madre
453813.0,2023-08-14,17:30,NO,5,Femenino,Argentina,NO,Psicológica,Madre
453813.0,2023-08-14,17:30,NO,18,Femenino,Argentina,NO,Física y psicológica,Madre
453782.0,2023-08-19,10:00,NO,25,Femenino,Argentina,NO,Física y psicológica,Ex pareja
453782.0,2023-08-19,10:00,NO,4,Femenino,Argentina,NS/NC,Psicológica,Padre
452292.0,2023-08-23,09:00,NO,9,Masculino,Argentina,NS/NC,Psicológica,Padre
452292.0,2023-08-23,09:00,SI,50,Femenino,Argentina,NS/NC,Psicológica,Ex pareja
454206.0,2023-09-04,10:30,NO,45,Femenino,Boliviana,NO,Física y psicológica,Pareja
454280.0,2023-09-06,21:00,NO,30,Masculino,NS/NC,NS/NC,Física y psicológica,Pareja
454332.0,2023-09-09,00:00,NO,12,Femenino,Argentina,NO,Física y psicológica,Madre
454332.0,2023-09-09,00:00,NO,5,Femenino,Argentina,NS/NC,Física y psicológica,Madre
454332.0,2023-09-09,00:00,NO,2,Femenino,Argentina,NS/NC,Física y psicológica,Madre
454332.0,2023-09-09,00:00,NO,56,Femenino,Argentina,NS/NC,Física y psicológica,Hijo/a
454330.0,2023-09-10,09:00,NO,,Femenino,Argentina,NS/NC,Psicológica,Padre
454330.0,2023-09-10,09:00,NS/NC,21,Femenino,Argentina,NO,Física y psicológica,Padrastro
454330.0,2023-09-10,09:00,NO,5,Femenino,Argentina,NS/NC,Psicológica,Padrastro
454407.0,2023-09-13,11:30,NO,68,Femenino,Argentina,NS/NC,Física y psicológica,Hijo/a
454445.0,2023-09-14,14:30,NO,47,Femenino,Argentina,SI,Física y psicológica,Hijo/a
454445.0,2023-09-14,14:30,NO,18,Femenino,Argentina,NS/NC,Física y psicológica,Hermano/a
454475.0,2023-09-15,10:20,NO,14,Masculino,Argentina,NO,Física y psicológica,Padre
454475.0,2023-09-15,10:20,NO,16,Masculino,Argentina,NO,Psicológica,Padre
454475.0,2023-09-15,10:20,NO,7,Masculino,Argentina,NO,Psicológica,Padre
454475.0,2023-09-15,10:20,NO,41,Femenino,Paraguaya,NO,Física y psicológica,Pareja
454651.0,2023-09-22,00:00,NO,20,Femenino,Argentina,NO,Física y psicológica,Pareja
455102.0,2023-10-10,16:00,NO,,Masculino,Argentina,NO,Psicológica,Padre
455102.0,2023-10-10,16:00,NO,28,Femenino,Argentina,SI,"Física, económica y psicológica",Pareja
455135.0,2023-10-11,17:00,NO,4,Masculino,Argentina,SI,Física y psicológica,Hermano/a
455167.0,2023-10-12,13:00,NO,34,Masculino,Argentina,NS/NC,Física y psicológica,Pareja
455226.0,2023-10-15,21:00,SI,31,Femenino,Argentina,NO,Física y psicológica,Ex pareja
455226.0,2023-10-15,21:00,NO,4,Masculino,Argentina,NO,Psicológica,NS/NC
455397.0,2023-10-20,21:00,NO,3,Masculino,Argentina,NS/NC,Física y psicológica,NS/NC
455537.0,2023-10-27,15:00,NO,10,Femenino,Argentina,NO,Física y psicológica,Padre
455537.0,2023-10-27,15:00,NO,3,Femenino,Argentina,NO,Psicológica,Padre
455537.0,2023-10-27,15:00,NO,28,Femenino,Argentina,NO,Física y psicológica,Pareja
455631.0,2023-10-31,12:30,NS/NC,23,Femenino,Paraguaya,NO,Física y psicológica,Pareja
455705.0,2023-11-03,14:30,NO,17,Femenino,Argentina,NO,Física y psicológica,Pareja
455746.0,2023-11-05,15:30,NO,15,Masculino,Argentina,NS/NC,Psicológica,Padre
455748.0,2023-11-05,00:00,NS/NC,16,Femenino,Argentina,NS/NC,Otra,NS/NC
